       Node,    Mode,   Dis
      41,      10,     -9.256527E-17,      4.997168E-17,     -3.217346E-04,      8.723266E-05,      1.582002E-04,      6.143483E-17	
      49,      10,     -1.388631E-17,      8.147703E-17,     -1.003425E-03,      8.723266E-05,     -1.413602E-17,     -3.533438E-17	
      57,      10,     -5.148666E-17,     -7.091281E-17,     -3.217346E-04,      8.723266E-05,     -1.582002E-04,     -3.488746E-17	
      65,      10,     -2.382679E-16,      3.998227E-17,      1.223079E-03,      8.723266E-05,     -2.087049E-04,      8.680070E-17	


       Node,    Mode,   Dis
       1,      11,      0.000000E+00,      0.000000E+00,     -5.789293E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      11,      0.000000E+00,      0.000000E+00,      1.306475E-18,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      11,      3.408547E-16,      8.235651E-17,      5.415556E-17,     -9.545340E-17,     -6.309304E-17,     -1.668324E-16	
      34,      11,      1.339132E-16,     -8.342621E-17,      8.377080E-17,     -9.359054E-17,      3.846850E-17,     -1.638185E-16	
      41,      11,      1.613432E-16,     -3.449857E-17,     -1.016574E-16,     -8.091103E-17,      1.300003E-17,     -8.496199E-18	
      49,      11,     -1.055008E-16,      2.440616E-16,      4.038866E-17,     -6.632668E-17,      1.512398E-16,     -3.521997E-17	
      57,      11,     -1.607441E-16,     -1.326489E-16,      1.081377E-16,     -5.173036E-17,      8.853610E-17,     -1.185060E-17	
      65,      11,      4.112005E-17,      4.782736E-17,     -1.114626E-17,     -3.713782E-17,      1.058393E-17,      4.076928E-17	


       Node,    Mode,   Dis
       1,      12,      0.000000E+00,      0.000000E+00,     -1.331884E-18,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      12,      0.000000E+00,      0.000000E+00,      2.419125E-18,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      12,      2.122506E-16,      6.342778E-04,      1.244267E-16,     -1.564587E-18,     -3.514740E-18,      1.963385E-04	
      34,      12,      2.821811E-16,      8.262109E-04,      1.223343E-16,      1.293408E-18,      1.206525E-17,      1.831225E-04	
      41,      12,     -1.694494E-17,      6.764736E-04,     -1.239576E-17,      2.110749E-17,      3.457651E-17,     -2.486272E-04	
      49,      12,     -1.746950E-16,     -1.069905E-03,     -5.424052E-17,      4.376194E-17,     -9.512484E-17,      4.610259E-17	
      57,      12,     -1.621025E-16,      6.764736E-04,      8.373904E-18,      6.637973E-17,     -6.314961E-17,      2.486272E-04	
      65,      12,      2.615546E-16,      6.342778E-04,      1.030120E-16,      8.906183E-17,      4.270182E-17,     -1.963385E-04	


       Node,    Mode,   Dis
       1,      13,      0.000000E+00,      0.000000E+00,      1.104735E-18,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      13,      0.000000E+00,      0.000000E+00,     -2.033033E-18,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      13,     -1.226971E-03,     -1.451631E-16,     -5.439546E-17,      1.186196E-16,      2.163440E-16,      4.187478E-16	
      34,      13,     -1.211450E-03,      2.212207E-16,     -1.737600E-16,      1.097449E-16,     -7.425566E-17,      2.618544E-16	
      41,      13,     -8.137450E-04,      3.214593E-16,      7.199749E-17,      4.782411E-17,      4.606436E-17,     -1.451985E-16	
      49,      13,      5.207836E-05,     -6.724623E-18,     -1.293757E-16,     -2.295481E-17,      7.090263E-17,      2.743824E-17	
      57,      13,      8.889362E-04,      1.358322E-16,      1.914607E-16,     -9.368544E-17,      3.508049E-17,     -4.507538E-17	
      65,      13,      1.231376E-03,      1.302108E-16,     -1.298870E-16,     -1.645203E-16,     -1.640077E-16,      2.858206E-16	


       Node,    Mode,   Dis
       1,      14,      0.000000E+00,      0.000000E+00,      5.321114E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      14,      0.000000E+00,      0.000000E+00,     -9.111521E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      14,      3.462337E-16,     -1.201307E-03,     -6.547507E-17,     -2.376502E-16,     -2.228524E-16,      1.197865E-04	
      34,      14,     -5.843908E-16,     -1.078074E-03,      6.600859E-17,     -2.289123E-16,      5.246524E-17,      1.301241E-04	
      41,      14,      1.857594E-17,      3.139048E-04,     -5.129690E-17,     -1.674879E-16,      1.551559E-17,      1.820889E-04	
      49,      14,     -4.122253E-17,     -5.392710E-17,      1.768565E-17,     -9.727807E-17,     -1.575295E-16,     -2.000575E-04	
      57,      14,      8.000483E-17,     -3.139048E-04,      1.534000E-17,     -2.701029E-17,      1.187625E-16,      1.820889E-04	
      65,      14,      2.112870E-16,      1.201307E-03,     -1.154691E-16,      4.316412E-17,      9.086427E-17,      1.197865E-04	


       Node,    Mode,   Dis
       1,      15,      0.000000E+00,      0.000000E+00,     -2.214409E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      15,      0.000000E+00,      0.000000E+00,      4.020494E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      15,      4.457633E-17,      1.150678E-03,      3.621505E-15,     -3.125217E-15,      2.707162E-15,     -3.971611E-04	
      34,      15,     -3.619821E-16,      7.547388E-04,      8.688150E-16,     -2.922233E-15,      2.842859E-15,     -3.934946E-04	
      41,      15,     -1.344881E-16,     -7.102510E-04,     -1.181300E-14,     -1.501308E-15,      2.925978E-16,      9.440372E-05	
      49,      15,     -2.499104E-16,      8.150308E-04,     -2.044078E-16,      1.226230E-16,     -2.649441E-15,     -3.059631E-18	
      57,      15,      3.262372E-16,     -7.102510E-04,      1.192619E-14,      1.746511E-15,      1.391699E-16,     -9.440372E-05	
      65,      15,      5.613047E-16,      1.150678E-03,     -3.000234E-15,      3.370439E-15,      3.020094E-15,      3.971611E-04	


       Node,    Mode,   Dis
       1,      16,      0.000000E+00,      0.000000E+00,     -8.764025E-10,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      16,      0.000000E+00,      0.000000E+00,      8.764025E-10,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      16,      2.546344E-16,     -1.526862E-14,      2.564187E-04,     -2.318640E-04,      2.121351E-04,      5.041462E-15	
      34,      16,     -6.455759E-16,     -1.016470E-14,      4.543253E-05,     -2.173725E-04,      2.086882E-04,      5.228804E-15	
      41,      16,      2.953907E-16,      9.846809E-15,     -8.879183E-04,     -1.159320E-04,      1.844869E-05,     -1.383917E-15	
      49,      16,     -7.192515E-17,     -1.116647E-14,      3.881558E-16,     -2.542714E-16,     -1.855261E-04,      2.819730E-16	
      57,      16,      1.316792E-16,      9.503983E-15,      8.879183E-04,      1.159320E-04,      1.844869E-05,      1.112843E-15	
      65,      16,      5.332412E-16,     -1.550342E-14,     -2.564187E-04,      2.318640E-04,      2.121351E-04,     -4.973700E-15	


       Node,    Mode,   Dis
       1,      17,      0.000000E+00,      0.000000E+00,     -1.082922E-09,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      17,      0.000000E+00,      0.000000E+00,     -1.082922E-09,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      17,      5.224970E-16,     -1.388269E-15,     -7.973226E-04,     -4.960162E-04,     -4.634319E-05,      1.162977E-15	
      34,      17,      2.378157E-16,     -2.181801E-16,     -7.500256E-04,     -4.960162E-04,     -4.920477E-05,      1.183671E-15	
      41,      17,     -5.225254E-16,     -6.024994E-16,     -1.673905E-04,     -4.960162E-04,     -1.111737E-04,     -9.759170E-17	
      49,      17,     -6.791998E-16,      2.461628E-16,      4.196551E-04,     -4.960162E-04,     -5.103262E-17,      2.924528E-16	
      57,      17,     -6.987642E-16,     -1.295654E-15,     -1.673905E-04,     -4.960162E-04,      1.111737E-04,      1.967668E-16	
      65,      17,      9.096622E-16,      5.350355E-17,     -7.973226E-04,     -4.960162E-04,      4.634319E-05,      1.756741E-16	


       Node,    Mode,   Dis
       1,      18,      0.000000E+00,      0.000000E+00,     -4.876875E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      18,      0.000000E+00,      0.000000E+00,      8.900990E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      18,     -4.853157E-04,      1.119230E-15,      9.898886E-16,      6.857839E-16,      5.941614E-16,     -2.209049E-16	
      34,      18,     -3.815271E-04,      8.739986E-16,      4.626548E-16,      6.292913E-16,      3.920015E-16,     -2.945304E-16	
      41,      18,      4.570516E-04,      4.664026E-16,     -7.644618E-16,      2.326862E-16,     -3.956063E-17,     -6.326568E-16	
      49,      18,      6.825860E-04,      8.340689E-18,      6.280557E-16,     -2.204096E-16,     -1.229611E-16,      5.276081E-16	
      57,      18,     -1.624374E-04,      1.807294E-16,      2.663850E-16,     -6.737021E-16,      2.593351E-16,     -7.693998E-16	
      65,      18,     -7.526964E-04,      1.462744E-15,     -2.012606E-15,     -1.126855E-15,      2.264782E-16,      8.715880E-16	


       Node,    Mode,   Dis
       1,      19,      0.000000E+00,      0.000000E+00,     -1.378694E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      19,      0.000000E+00,      0.000000E+00,      2.665372E-19,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      19,      1.056570E-15,     -5.240620E-04,     -2.427964E-15,     -4.018331E-16,     -1.904125E-16,      5.770919E-04	
      34,      19,     -3.278641E-16,      4.211067E-05,     -2.128472E-15,     -3.774233E-16,     -5.183159E-16,      5.443343E-04	
      41,      19,      1.865674E-16,      1.197324E-04,      2.160977E-15,     -2.067876E-16,     -2.437541E-16,     -4.736503E-04	
      49,      19,     -5.189077E-16,     -5.558090E-16,     -1.065342E-16,     -1.175159E-17,      4.201618E-16,      4.810707E-04	
      57,      19,      1.440028E-15,     -1.197324E-04,     -1.848802E-15,      1.832802E-16,     -1.841573E-16,     -4.736503E-04	
      65,      19,      1.677603E-15,      5.240620E-04,      2.859080E-15,      3.782672E-16,     -6.990457E-16,      5.770919E-04	


       Node,    Mode,   Dis
       1,      20,      0.000000E+00,      0.000000E+00,     -7.442461E-10,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      17,      20,      0.000000E+00,      0.000000E+00,      7.442461E-10,      0.000000E+00,      0.000000E+00,      0.000000E+00	
      33,      20,      6.609953E-15,     -4.011135E-16,     -1.348558E-03,     -4.444619E-04,     -3.188797E-04,     -1.597912E-16	
      34,      20,      5.778136E-15,     -5.215315E-16,     -1.029901E-03,     -4.166830E-04,     -3.182122E-04,     -4.191514E-17	
      41,      20,      1.374245E-15,     -3.313194E-16,      7.335841E-04,     -2.222309E-04,     -1.148004E-04,      9.793886E-16	
